node_id,timestamp,event,comment
020000000002,2018/01/01 00:00:00,commissioned,
020000000003,2018/01/01 00:00:00,commissioned,
020000000004,2018/01/01 00:00:00,commissioned,
020000000005,2018/01/01 00:00:00,commissioned,
020000000006,2018/01/01 00:00:00,commissioned,
020000000007,2018/01/01 00:00:00,commissioned,
020000000008,2018/01/01 00:00:00,commissioned,
020000000009,2018/01/01 00:00:00,commissioned,
02000000000a,2018/01/01 00:00:00,commissioned,
02000000000b,2018/01/01 00:00:00,commissioned,
02000000000c,2018/01/01 00:00:00,commissioned,
02000000000d,2018/01/01 00:00:00,commissioned,
02000000000e,2018/01/01 00:00:00,commissioned,
02000000000f,2018/01/01 00:00:00,commissioned,
