node_id,timestamp,event,comment
001e0610e8a7,2018/02/22 00:00:00,commissioned,
001e0610ee38,2018/02/22 00:00:00,commissioned,
001e0610ef7b,2018/02/22 00:00:00,commissioned,
001e0610ee99,2018/02/22 00:00:00,commissioned,
001e0610e31b,2018/02/22 00:00:00,commissioned,
001e0610ef01,2018/02/22 00:00:00,commissioned,
001e0610ee55,2018/02/22 00:00:00,commissioned,
001e0610fb45,2018/02/22 00:00:00,commissioned,
001e061131d3,2018/02/22 00:00:00,commissioned,
001e0610ee94,2018/02/22 00:00:00,commissioned,
001e0610e53e,2018/02/22 00:00:00,commissioned,
001e0610eba3,2018/02/22 00:00:00,commissioned,
001e0610ec0c,2018/02/22 00:00:00,commissioned,
001e0610f71f,2018/02/22 00:00:00,commissioned,
001e0610fb49,2018/02/22 00:00:00,commissioned,
001e0610ee96,2018/02/22 00:00:00,commissioned,
